R0,k,k_label,generation_g,p_survive,p_survive_ultimate,frac_of_ultimate
1.2,0.05,0.05,1,0.1486600774792154,0.016769357710910704,8.864983384694106
1.2,0.05,0.05,2,0.07313934470502192,0.016769357710910704,4.361487539706725
1.2,0.05,0.05,3,0.04941445384394605,0.016769357710910704,2.9467111797487244
1.2,0.05,0.05,4,0.03834782173327367,0.016769357710910704,2.2867793981354034
1.2,0.05,0.05,5,0.03209884907424254,0.016769357710910704,1.91413706044078
1.2,0.05,0.05,6,0.028155527819687443,0.016769357710910704,1.6789866556050932
1.2,0.05,0.05,7,0.025482228977047328,0.016769357710910704,1.5195709589084463
1.2,0.05,0.05,8,0.023578139078225924,0.016769357710910704,1.406025173098025
1.2,0.05,0.05,9,0.022172739152737098,0.016769357710910704,1.3222175550773048
1.2,0.05,0.05,10,0.021107511209339958,0.016769357710910704,1.258695268668919
1.2,0.05,0.05,11,0.020283581429329955,0.016769357710910704,1.2095622133537518
1.2,0.05,0.05,12,0.0196361573503111,0.016769357710910704,1.170954647686665
1.2,0.1,0.1,1,0.2262410869388981,0.031846346315302476,7.104145784855297
1.2,0.1,0.1,2,0.12298833767720818,0.031846346315302476,3.8619292919675092
1.2,0.1,0.1,3,0.086670698913494,0.031846346315302476,2.7215272375483743
1.2,0.1,0.1,4,0.06881503937539535,0.031846346315302476,2.160845664807993
1.2,0.1,0.1,5,0.05842451154604078,0.031846346315302476,1.8345750236964307
1.2,0.1,0.1,6,0.05174058106329482,0.031846346315302476,1.6246944170933975
1.2,0.1,0.1,7,0.04714958640438516,0.031846346315302476,1.4805336203270931
1.2,0.1,0.1,8,0.04384894450880206,0.031846346315302476,1.376890902167079
1.2,0.1,0.1,9,0.041396047137526315,0.031846346315302476,1.299868020264388
1.2,0.1,0.1,10,0.03952735822670406,0.031846346315302476,1.2411897376029846
1.2,0.1,0.1,11,0.03807640018043723,0.031846346315302476,1.195628528417439
1.2,0.1,0.1,12,0.03693294894403576,0.031846346315302476,1.1597232718118475
1.2,0.2,0.2,1,0.32238908659951904,0.05785026571367635,5.572819461109289
1.2,0.2,0.2,2,0.19369737171977375,0.05785026571367635,3.3482537950380036
1.2,0.2,0.2,3,0.14291980274333815,0.05785026571367635,2.470512468355881
1.2,0.2,0.2,4,0.11648616276882229,0.05785026571367635,2.013580427536115
1.2,0.2,0.2,5,0.1005737285446916,0.05785026571367635,1.738518005128454
1.2,0.2,0.2,6,0.09010908477252311,0.05785026571367635,1.5576261173718424
1.2,0.2,0.2,7,0.08281076635171103,0.05785026571367635,1.431467346434915
1.2,0.2,0.2,8,0.07750611379043548,0.05785026571367635,1.339771094121566
1.2,0.2,0.2,9,0.07353226300087212,0.05785026571367635,1.271079088293425
1.2,0.2,0.2,10,0.0704868539464184,0.05785026571367635,1.2184361312234153
1.2,0.2,0.2,11,0.06811175249296608,0.05785026571367635,1.1773801149000396
