R0,k,k_label,extinction_prob,establishment_n1
0.2,0.05,0.05,1.0,0.0
0.21453634085213033,0.05,0.05,1.0,0.0
0.22907268170426065,0.05,0.05,1.0,0.0
0.243609022556391,0.05,0.05,1.0,0.0
0.2581453634085213,0.05,0.05,1.0,0.0
0.27268170426065164,0.05,0.05,1.0,0.0
0.28721804511278193,0.05,0.05,1.0,0.0
0.3017543859649123,0.05,0.05,1.0,0.0
0.3162907268170426,0.05,0.05,1.0,0.0
0.3308270676691729,0.05,0.05,1.0,0.0
0.34536340852130326,0.05,0.05,1.0,0.0
0.3598997493734336,0.05,0.05,1.0,0.0
0.3744360902255639,0.05,0.05,1.0,0.0
0.3889724310776942,0.05,0.05,1.0,0.0
0.4035087719298246,0.05,0.05,1.0,0.0
0.4180451127819549,0.05,0.05,1.0,0.0
0.4325814536340852,0.05,0.05,1.0,0.0
0.4471177944862155,0.05,0.05,1.0,0.0
0.4616541353383459,0.05,0.05,1.0,0.0
0.47619047619047616,0.05,0.05,1.0,0.0
0.4907268170426065,0.05,0.05,1.0,0.0
0.5052631578947369,0.05,0.05,1.0,0.0
0.5197994987468672,0.05,0.05,1.0,0.0
0.5343358395989974,0.05,0.05,1.0,0.0
0.5488721804511278,0.05,0.05,1.0,0.0
0.5634085213032581,0.05,0.05,1.0,0.0
0.5779448621553884,0.05,0.05,1.0,0.0
0.5924812030075188,0.05,0.05,1.0,0.0
0.6070175438596491,0.05,0.05,1.0,0.0
0.6215538847117794,0.05,0.05,1.0,0.0
0.6360902255639098,0.05,0.05,1.0,0.0
0.65062656641604,0.05,0.05,1.0,0.0
0.6651629072681704,0.05,0.05,1.0,0.0
0.6796992481203008,0.05,0.05,1.0,0.0
0.694235588972431,0.05,0.05,1.0,0.0
0.7087719298245614,0.05,0.05,1.0,0.0
0.7233082706766918,0.05,0.05,1.0,0.0
0.737844611528822,0.05,0.05,1.0,0.0
0.7523809523809524,0.05,0.05,1.0,0.0
0.7669172932330828,0.05,0.05,1.0,0.0
0.781453634085213,0.05,0.05,1.0,0.0
0.7959899749373434,0.05,0.05,1.0,0.0
0.8105263157894735,0.05,0.05,1.0,0.0
0.8250626566416039,0.05,0.05,1.0,0.0
0.8395989974937343,0.05,0.05,1.0,0.0
0.8541353383458645,0.05,0.05,1.0,0.0
0.8686716791979949,0.05,0.05,1.0,0.0
0.8832080200501253,0.05,0.05,1.0,0.0
0.8977443609022555,0.05,0.05,1.0,0.0
0.9122807017543859,0.05,0.05,1.0,0.0
0.9268170426065163,0.05,0.05,1.0,0.0
0.9413533834586465,0.05,0.05,1.0,0.0
0.9558897243107769,0.05,0.05,1.0,0.0
0.9704260651629073,0.05,0.05,1.0,0.0
0.9849624060150375,0.05,0.05,1.0,0.0
0.9994987468671679,0.05,0.05,1.0,0.0
1.0140350877192983,0.05,0.05,0.9986762732612509,0.0013237267387491425
1.0285714285714285,0.05,0.05,0.9973319260124804,0.002668073987519559
1.0431077694235589,0.05,0.05,0.9960137491538881,0.003986250846111927
1.0576441102756893,0.05,0.05,0.9947208269662999,0.005279173033700069
1.0721804511278195,0.05,0.05,0.9934522891041302,0.006547710895869807
1.0867167919799499,0.05,0.05,0.9922073077180196,0.007792692281980429
1.10125313283208,0.05,0.05,0.9909850947981926,0.009014905201807366
1.1157894736842104,0.05,0.05,0.989784899718775,0.010215100281224965
1.1303258145363408,0.05,0.05,0.9886060069653286,0.011393993034671368
1.144862155388471,0.05,0.05,0.9874477340296477,0.012552265970352305
1.1593984962406014,0.05,0.05,0.986309429457435,0.01369057054256495
1.1739348370927318,0.05,0.05,0.9851904710358959,0.014809528964104146
1.188471177944862,0.05,0.05,0.9840902641095248,0.015909735890475174
1.2030075187969924,0.05,0.05,0.9830082400134947,0.01699175998650526
1.2175438596491226,0.05,0.05,0.981943854615045,0.018056145384955036
1.232080200501253,0.05,0.05,0.9808965869541624,0.019103413045837625
1.2466165413533834,0.05,0.05,0.9798659379756491,0.020134062024350863
1.2611528822055136,0.05,0.05,0.9788514293453909,0.021148570654609067
1.275689223057644,0.05,0.05,0.9778526023442797,0.02214739765572027
1.2902255639097744,0.05,0.05,0.9768690168338303,0.023130983166169683
1.3047619047619046,0.05,0.05,0.9759002502880489,0.024099749711951057
1.319298245614035,0.05,0.05,0.9749458968865845,0.025054103113415493
1.3338345864661654,0.05,0.05,0.9740055666646208,0.025994433335379208
1.3483709273182956,0.05,0.05,0.9730788847153469,0.02692111528465313
1.362907268170426,0.05,0.05,0.9721654904411998,0.02783450955880018
1.3774436090225564,0.05,0.05,0.9712650368503795,0.02873496314962054
1.3919799498746865,0.05,0.05,0.9703771898954296,0.029622810104570352
1.406516290726817,0.05,0.05,0.969501627850935,0.030498372149065034
